id,dept,first,last,numratings,overall_rating
3646,Nursing,Ruth,Rodney,15,2.5
3647,Humanities,Nedra,Rodrigo,2,5
3648,Psychology,Achala,Rodrigo,5,3.6
3649,Philosophy,Daniel,Rodrigues,0,
3650,Mathematics,Vinicius,Rodrigues,1,5
3651,Not Specified,Cristobal,Rodriguez,0,
3652,Not Specified,Cristobal Sanchez,Rodriguez,5,3.4
3653,Not Specified,Cristobal,Rodriquez,0,
3654,History,Nicholas,Rogers,21,3.5
3655,Environmental Studies,Raymond,Rogers,14,4.6
3656,Film,Kenneth,Rogers,4,3
3657,Natural Sciences,Jesse,Rogerson,21,4.5
3658,Mathematics,Cesar,Rojas,1,5
3659,Psychology,Ami,Rokach,50,4.2
3660,Languages,Rita,Rolim,3,2.2
3661,Anthropology,Shelly,Romalis,0,
3662,Languages,Tanya,Romaniuk,5,3.5
3663,Accounting,Moe,Romero,6,2.8
3664,Social Science,Alejandra,Roncallo,9,4.9
3665,Administration,Shaweta,Roopra,9,3.7
3666,Psychology,Kaley,Roosen,0,
3667,Criminology,Katrin,Roots,6,3
3668,Sociology,Vanessa,Rosa,15,5
3669,Communication Studies,Phil,Rose,2,4
3670,Psychology,James,Roseborough,0,
3671,Psychology,Shayna,Rosenbaum,30,3.5
3672,History,Jean,Rosenfeld,54,1.6
3673,Psychology,Susan,Rosenkranz,0,
3674,French Studies,Sylvie,Rosienski,2,4.5
3675,Business,Hazel,Rosin,20,3.6
3676,Biology,Emanuel,Rosonina,51,4.4
3677,Psychology,Erin,Ross,74,4.5
3678,Social Science,Stephanie,Ross,15,3.9
3679,Not Specified,Stephanie Ann,Ross,0,
3680,Business,Richard,Ross,0,
3681,Nursing,Grace,Ross,43,2.7
3682,Management,Richard,Ross,3,2
3683,Social Work,Amy,Rossiter,12,3.5
3684,Theatre,Matthew,Rossoff,2,5
3685,Business,Anoosheh,Rostamkalaei,2,1.5
3686,Information Technology,Daniella,Rosu,4,3.5
3687,Geography,Robin,Roth,15,4.1
3688,Kinesiology,Michael,Rotondi,13,3
3689,Social Science,Sarah,Rotz,5,4
3690,Computer Science,Hamzeh,Roumani,142,4.7
3691,Business,Jean-Jacques,Rousseau,1,5
3692,Kinesiology,Chip,Rowan,17,4.9
3693,Human Resources Management,Kate,Rowbotham,2,4.2
3694,Humanities,Wade,Rowland,37,3.7
3695,Social Science,Sherry,Rowley,117,3.2
3696,Humanities,Sherry J.F.,Rowley,10,2.7
3697,Philosophy,Craig,Roxborough,5,3.1
3698,Business,J.P.,Roy,26,3.9
3699,Disaster Management,Jack,Rozdilsky,10,2
3700,English,Phyllis,Rozendal,36,3.7
3701,Mathematics,Carly,Rozins,23,4.3
3702,Economics,Ashfakuddin,Rubel,12,3.9
3703,History,Anne,Rubenstein,39,2.7
3704,Theatre,Don,Rubin,0,
3705,Education,Olga,Rubino,1,2
3706,History,Janet,Rubinoff,47,2
3707,Geography,Irene,Rubinstein,15,1.9
3708,Theater,Judith,Rudakoff,40,4.3
3709,Theatre,Judith,Rudakoff,4,5
3710,Humanities,Karen,Ruddy,13,4.2
3711,Law,Jonathan,Rudin,30,4.3
3712,Political Science,Ross,Rudolph,66,4.6
3713,Chemistry,Jochen,Rudolph,3,2.5
3714,Accounting,Muneeb,Ruhi,1,5
3715,History,Lisa,Rumiel,15,3.3
3716,Accounting,Peter,Rumyee,6,2.8
3717,Natural Sciences,David,Ruocco,3,4.3
3718,Computer Science,Eric,Ruppert,48,3.4
3719,Humanities,Sharanpal,Ruprai,2,4.8
3720,Marketing,Alexander,Rusetski,36,3.9
3721,Finance,Peter,Rusheleau,9,2.6
3722,English,Chris,Russell,0,
3723,English,Danielle,Russell,22,3.7
3724,English As A Second Language,James,Russell,7,4.8
3725,Social Science,Jason,Russell,2,2.5
3726,Philosophy,Devlin,Russell,9,3.3
3727,Communication Studies,Chelsea,Russell,1,3
3728,Psychology,Anne,Russon,0,
3729,History,Myra,Rutherdale,11,4.2
3730,Psychology,Alexandra,Rutherford,103,4.2
3731,Psychology,Jennifer,Ruttle,4,3.8
3732,Administration,Nursel,Ruzgar,26,2.7
3733,Social Work,Marie-Jolie,Rwigema,16,4.2
3734,Natural Sciences,Christopher,Ryan,5,5
3735,Music,Karen,Rymal,31,2.8
3736,Environmental Studies,Aaron,Saad,4,5
3737,Political Science,Thomas,Sablowski,0,
3738,Chemistry,Marina,Saccon,20,3.6
3739,Education,Sonya,Sachar,18,4.7
3740,English As A Second Language,Nidhi,Sachdeva,7,3
3741,Engineering,Eleftherios,Sachlos,3,4.3
3742,Engineering,Hossam,Sadek,18,4.3
3743,Philosophy,Fatima,Sadek,1,4
3744,Social Science,Julie,Sadler,2,1.2
3745,Education,Lisa,Sadlos,0,
3746,Economics,Perry,Sadorsky,15,4.2
3747,"Languages, Literatures & Linguistics",Pouneh,Saeedi,4,3
3748,Kinesiology,Parissa,Safai,65,3.9
3749,English As A Second Language,Mansour,Safdari,29,3.7
3750,Computer Science,Sukhwant,Sagar,0,
3751,Sociology,Muhammad,Saidul Islam,3,2.8
3752,Administration,Sarkar,Saikat,0,
3753,Natural Sciences,Jean,Saindon,78,3.5
3754,Computer Science,Nick,Sajadi,15,1.3
3755,Computer Science,Taha Sajjad,Sajjad,0,
3756,Humanities,Fumi,Sakata,0,
3757,TA,Shokoufeh,Sakhi,2,3.5
3758,English,Trish,Salah,9,3.6
3759,Engineering,Razieh,Salahandish,22,2.7
3760,Administration,Sabrina D.,Salamon,18,4.3
3761,Human Resources Management,Fola-Kemi,Salawau,1,3
3762,Law,Alberto,Salazar,21,2.7
3763,Biology,Saber,Saleuddin,14,3
3764,Mathematics,Tom,Salisbury,19,3.7
3765,Economics,Laura,Salisbury,24,3.4
3766,Social Science,Thomas,Salisbury,2,5
3767,Science,Jahan,Salma,1,2
3768,Business Administration,saima,salman,13,2
3769,Administration,Ali,Salman,4,2.2
3770,Geomatics Technology,Stilary,Salmon,1,4
3771,Law,Liora,Salter,7,2.6
3772,Civil Engineering,Lal,Samarasekera,16,3.3
3773,Sociology,Lina,Samuel,5,4.8
3774,Social Science,Jeannie,Samuel,4,4.8
3775,Administration,Tameka,Samuels-Jones,0,
3776,Education,Razika,Sanaoui,5,2.9
3777,Communication Studies,Christian,Sanchez,1,1
3778,Management,Cristobal,Sanchez-Rodriguez,53,2.4
3779,Economics,Benjamin,Sand,35,2.9
3780,Political Science,Sune,Sandbeck,5,5
3781,Environmental Studies,Anders,Sandberg,31,4.1
3782,Sociology,Chris,Sanders,7,4.6
3783,Education,Nancy,Sanders,17,4.8
3784,Humanities,Leslie,Sanders,11,4.1
3785,Social Science,Karrie,Sandford,26,2.2
3786,Dance,Lisa,Sandlos,4,3
3787,Nursing,Nancy,Sangiuliano,11,2.5
3788,Film,Steve,Sanguedolce,20,3.8
3789,Kinesiology,Nancy,Sanguiliano,11,2.5
3790,Music,Trichy,Sankaran,4,3.5
3791,Languages,Esther,Santana,0,
3792,Health Science,Antonio,Santilli,24,2.3
3793,Humanities,Jenna,Santyr,1,5
3794,Physics,Veronica,Sanz,2,4.2
3795,Biology,Jan,Sapp,80,3
3796,Mathematics,Pamela,Sargent,56,4.9
3797,Biology,Vivian,Saridakis,50,1.6
3798,Political Science,Kanchan,Sarker,21,3.5
3799,Public Administration,Antoinette,Sarpong,3,3.7
3800,Chemistry,Mehrnaz,Sarrafzadeh,0,
3801,Psychology,Joni,Sasaki,7,3.9
3802,Dance,Julia,Sasso,0,
3803,Education,Roger,Saul,5,5
3804,Geography,John,Saunders,7,3.5
3805,Political Science,Richard,Saunders,77,2.4
3806,Geography,Tony,Savelli,5,4.2
3807,Philosophy,Stephane,Savoie,4,3.3
3808,Computer Science,Abdullah,Sawas,3,4
3809,Engineering,Shivam,Saxena,4,4.3
3810,Accounting,Gregory,Saxton,1,4
3811,Humanities,Maita,Sayo,4,4.1
3812,Design,David,Scadding,22,3.7
3813,Music,Roger,Scannura,14,4.5
3814,Mathematics,Francesca,Scarabel,2,5
3815,Marketing,Daiane,Scaraboto,3,3.7
3816,Social Science,Gabriele,Scardellato,25,3.4
3817,Public Policy & Administration,Adam,Schachhuber,8,4.5
3818,Design,Gabi,Schaffzin,10,5
3819,Political Science,Donna,Schatz,13,2.5
3820,Film,Rebecca,Schechter,11,2.5
3821,French Studies,Dominique,Scheffel-Dunand,12,3.5
3822,Biology,Michael,Scheid,41,3.3
3823,TA,Frank,Scherer,27,2.4
3824,Natural Sciences,Corinne,Schiller,38,2.5
3825,Communication Studies,Lisa,Schincariol,5,2.7
3826,Anthropology,Karl,Schmid,49,4
3827,History,Richard,Schneider,10,2.5
3828,Social Science,Randall,Schnoor,21,4.9
3829,Physics,Paul,Scholz,1,5
3830,Political Science,Martin,Schoots-McAlpine,0,
3831,Biology,Ryan,Schott,16,3.6
3832,History,Margaret,Schotte,10,4.7
3833,Accounting,Ellen,Schraa,14,4.3
3834,Anthropology,Albert,Schrauwers,28,3.5
3835,Computer Science,Jonatan,Schroeder,15,3.3
3836,Physics,Ivan,Schuller,0,
3837,Psychology,Regina,Schuller,36,4.1
3838,Human Resources Management,Brendan,Schulz,0,
3839,Law,Mark,Schwartz,22,4.2
3840,Visual Arts,Judith,Schwarz,24,2.5
3841,Education,Lorin,Schwarz,30,5
3842,Biology,Birgit,Schwarz,42,3.4
3843,Theater,Marlis,Schweitzer,7,4.3
3844,Kinesiology,Anthony,Scime,16,3.2
3845,Urban Studies,Blair,Scorgie,1,5
3846,Humanities,Jamie,Scott,25,3
3847,Accounting,Sandra,Scott,27,4.2
3848,Social Science,Sonya,Scott,23,4.8
3849,Fine Arts,Jonathan,Scott,1,5
3850,Philosophy,Xavier,Scott,6,2.7
3851,Nursing,Rivie,Seaberg,4,2.4
3852,Social Science,David,Sealy,11,3.8
3853,Health,Morgan,Seeley,0,
3854,Philosophy,Teresa,Segel,1,5
3855,Sociology,Lisa,Seiler,3,4
3856,Hebrew,Yael,Selinger,2,4.2
3857,Economics,Andrei,Semenov,132,2.9
3858,Business,Zhaleh,Semnani-Azad,25,4
3859,Business Administration,Ushnish,Sengupta,17,2.3
3860,Chemistry,Ali,Sepehrifard,16,2.8
3861,Administration,Joshua,Sera,6,3.8
3862,Not Specified,Joshua,Sera,0,
3863,Humanities,Efram,Sera-Shriar,0,
3864,Kinesiology,Lauren E,Sergio,27,3.6
3865,Marketing,Vijay,Setler,8,1.6
3866,Economics,Simin,Seury,95,1.9
3867,Accounting,Romi Lee,Sevel,41,3.3
3868,Languages,Savitsa,Sevigny,27,4.8
3869,Social Science,Christina,Sgro,15,4.8
3870,Humanities,Abigail,Shabtay,17,4.6
3871,Accounting,Gary,Shadden,0,
3872,Business,Masoud,Shadnam,2,2.8
3873,Political Science,Martin,Shadwick,20,3.9
3874,Mathematics,Mina,Shafadeh,0,
3875,Accounting,Sanjil,Shah,1,2
3876,Environmental Studies,Kalim,Shah,4,4.6
3877,Accounting,Priya,Shah,3,3.2
3878,Applied Arts,Yifat,Shaik,4,3.5
3879,Social Work,Sobia,Shaikh,6,3.2
3880,Psychology,Komal,Shaikh,6,4.3
3881,Philosophy,Andrey,Shamis,0,
3882,Management,Hope,Shamonda,71,2.8
3883,Philosophy,Hope,Shamonda,4,4.1
3884,Accounting,Zubair,Shamsi,10,1.9
3885,Engineering,Jinjun,Shan,18,1.6
3886,Education,Theresa,Shanahan,11,3.9
3887,Psychology,Stuart,Shanker,29,4.2
3888,Psychology,Ellen,Shankerbialystok,0,
3889,Management,Neil,Shankman,12,1.4
3890,Human Resources Management,Amanda,Shantz,9,4.5
3891,Psychology,Leah,Shapira,5,4.8
3892,Anthropology,Maya,Shapiro,3,5
3893,Political Science,Markus,Sharaput,5,4.3
3894,Psychology,Jason,Sharbanee,4,1.8
3895,Business,Tina,Sharifi,0,
3896,Humanities,April,Sharkey,24,4
3897,Education,Ragini,Sharma,1,4
3898,Biology,Sapna,Sharma,5,3
3899,Civil Engineering,Jitendrapal,Sharma,0,
3900,Accounting,Aseem,Sharma,2,5
3901,Visual Arts,Elaine,Sharpe,29,3
3902,Graduate Studies,Ruvani,Shaubel,0,
3903,Psychology,Andrew,Shaul,18,4.4
3904,Social Work,Gavin,Shaw,10,3.8
3905,Social Science,Joanna,Shaw,8,1.1
3906,Natural Sciences,Amy,Shaw,12,1.5
3907,Business Administration,Pavel,Shcherbin,5,4.4
3908,Social Science,Dylani,Shea,1,5
3909,Humanities,Victor,Shea,54,2.9
3910,Earth Science,Patrick,Sheese,6,4.3
3911,Psychology,Ronald,Sheese,90,4.6
3912,Languages,Carmela,Shehadi-Mishaiel,16,4.6
3913,Humanities,Khatereh,Sheibani,31,4
3914,Computer Science,Shahid,Sheikh,0,
3915,History,Shiraz,Sheikh,38,4.5
3916,Business,Diana,Sheikhman,0,
3917,Business Administration,Diana,Sheikhmanl,0,
3918,Psychology,Raha,Sheivari,5,4.8
3919,Humanities,Michelle,Shelley,1,5
3920,Business,Jung-Chin,Shen,27,3.1
3921,Humanities,Grace,Shen,18,3.7
3922,Mathematics,Yang,Shen,3,3.7
3923,Business Administration,Winny,Shen,5,3.2
3924,Biology,YI,Sheng,55,3.3
3925,Social Science,James,Sheptycki,41,2.2
3926,Management,Willow,Sheremata,24,3.4
3927,Education,Joe,Sheridan,27,2.4
3928,"Languages, Lit., & Linguistics",Marina,Sherkina-Lieber,12,2.5
3929,Biology,Rozhan,Sheykhani,9,3.6
3930,Mathematics,Dr. Xiaoping,Shi,5,2.2
3931,Chinese,Xiaoning,Shi,40,2
3932,Mathematics,Ray,Shieh,1,2.5
3933,Chemistry,Wonnie,Shin,0,
3934,Economics,Hwan Chiang,Shin,3,3
3935,Political Science,Tyler,Shipley,20,4.6
3936,Information Technology,Zehra,Shirin,5,4.4
3937,Writing,Rich,Shivener,1,2
3938,Health Policy & Management,Adrienne,Shnier,25,4.1
3939,Biology,Joel,Shore,45,3.2
3940,History,Marlene,Shore,6,3.8
3941,Political Science,Nicola,Short,84,2.1
3942,Business,Jon,Short,23,3.8
3943,Social Science,Yara,Shoufani,0,
3944,Mathematics,Affan,Shoukat,30,5
3945,Psychology,Jessica,Shroeder,1,1
3946,Health,Hemal,Shroff,2,1
3947,Psychology,Hemal,Shroff,9,2.2
3948,Humanities,Ann,Shteir,8,4
3949,Computer Science,Mark,Shtern,29,2.2
3950,History,Adrian,Shubert,22,3.5
3951,Languages,Ahouva,Shulman,28,3
3952,Accounting,Lawrence,Shum,49,1.3
3953,Finance,Pauline,Shum,14,1.9
3954,Computer Science,Yan,Shvartzshnaider,32,1.5
3955,Administration,Mark,Shwartz,2,4
3956,Humanities,Neil,Shyminsky,10,4.8
3957,Computer Engineering,Alireza,Siadatan,1,1
3958,Social Work,Mona,Siddhu,2,2.5
3959,Geography,David,Sider,2,5
3960,Marketing,Akash,Sidhu,0,
3961,Sociology,Rehanna,Siew,9,5
3962,Psychology,Matthew,Sigal,3,3.4
3963,Sociology,Hira,Sighn,6,3.3
3964,Business Administration,Karen,Sihra,2,4
3965,Kinesiology,Eerika,Silegren,0,
3966,Public Policy & Administration,Joseph,Silva,1,4
3967,Marketing,Mark,Silver,4,1.8
3968,Education,Rachel,Silver,14,5
3969,Biology,Cassandra,Silverio,0,
3970,Psychology,Irwin,Silverman,42,3
3971,Public Administration,James,Simeon,4,3.6
3972,Accounting,Laura,Simeoni,16,2.7
3973,Humanities,Marta,Simidchieva,73,3.1
3974,Kinesiology,Michael,Simmons,14,1.9
3975,Music,Rob,Simms,56,2.7
3976,Kinesiology,Michael,Simons,0,
3977,Social Science,John,Simoulidis,8,3.1
3978,Political Science,John,Simoulidis,60,4.2
3979,Womens & Gender Studies,Reese,Simpkins,49,3.4
3980,Education,Yvonne,Simpson,7,4.9
3981,Social Work,Rick,Sin,26,2.4
3982,Education,Margaret,Sinclair,14,3.2
3983,Music,Terrol,Sinclair,2,4
3984,Biology,Elaine,Sinclair,0,
3985,Fine Arts Cultural Studies,Don,Sinclair,7,4.9
3986,Psychology,Robindra,Sindu,3,3
3987,Visual Arts,Yvonne,Singer,12,2.5
3988,Theater,Ron,Singer,7,1.7
3989,Accounting,Shaweta,Singh,14,3.6
3990,Nursing,Mina,Singh,21,3.7
3991,Political Science,Jakeet,Singh,7,3.1
3992,Communication Studies,Rianka,Singh,9,4.9
3993,Social Science,Hira,Singh,83,3
3994,Business,Parbudyal,Singh,71,4.3
3995,Humanities,Peter,Sinnema,0,
3996,History,Alejandro,Sinner,2,4.5
3997,Languages,Roberta,Sinyor,20,2.6
3998,Marketing,Ajay,Sirsi,48,3.4
3999,Sociology,Bobby,Siu,1,1.5
4000,Social Work,Bente,Skau,15,4.2
4001,Mathematics,Andrew,Skelton,71,4.9
4002,Nursing,Sandra,Skerratt,21,3.7
4003,Social Science,David,Skinner,93,3
4004,Social Work,Wayne,Skinner,15,4.9
4005,Health,Harvey,Skinner,2,5
4006,Business,Elena,Skliarenko,30,3.5
4007,History,Bradley,Skopyk,9,2.7
4008,Mathematics,Paul,Skoufranis,33,3
4009,Natural Sciences,Ian,Slater,135,4.8
4010,Social Work,Renee,Sloos,4,4
4011,Political Science,Gabrielle,Slowey,57,2.5
4012,Psychology,Volodymyr,Slyvka,7,4.7
4013,Gender Studies,Harry,Smaller,0,
4014,Political Science,Bruce,Smardon,113,4.4
4015,Languages Lit. amp Linguistics,Liz,Smeets,3,4.3
4016,Kinesiology,Nicole,Smeha,0,
4017,Sociology,Sandra,Smele,2,4.8
4018,Languages,Sam,Smith,0,
4019,Languages,Ian,Smith,23,3.7
4020,English,Matthew,Smith,14,3.7
4021,Political Science,Charles,Smith,16,3.7
4022,Business,Marnie,Smith,1,3
4023,Science,Neil,Smith,2,3
4024,Natural Sciences,Neil,Smith,7,1.3
4025,Kinesiology,Neil,Smith,178,3
4026,Social Science,Miriam,Smith,10,4.6
4027,Fine Arts,Rebecca,Smith,0,
4028,Visual Arts,Rebecca,Smith,0,
4029,Physics,Isaac,Smith,4,2
4030,Social Work,Dave,Smith,1,3
4031,Economics,Barry,Smith,48,2.7
4032,Economics,J Barry,Smith,8,1.4
4033,Computer Engineering,James,Smith,4,3
4034,Engineering,James,Smith,49,3.3
4035,Economics,John,Smithin,37,3.1
4036,Biology,John,Smol,0,
4037,Political Science,Sergey,Smolnikov,37,3.5
4038,Biology,Joseph,Smuczek,0,
4039,Not Specified,David,Smukler,1,5
4040,Social Work,Peter,Smyth,5,3
4041,Marketing,Kim,Snow,131,2.4
4042,Theatre,Cathy,Sobocan,4,1
4043,Engineering,Amir,Sodagar,4,3.3
4044,Marketing,Pallavi,Sodhi,38,3.1
4045,Public Administration,Dagmar,Soennecken,16,3.3
4046,Chinese,Ibrahim,Sohail,0,
4047,Engineering,Gunho,Sohn,5,2.6
4048,Music,Casey,Sokol,5,4.6
4049,Administration,Adriano,Solis,24,2.9
4050,Applied Mathematics,Yohana,Solomon,2,3
4051,Computer Science,Reza,Soltani,11,3.4
4052,Business,Indira,Somwaru,155,3.8
4053,Not Specified,Indira,Somwaru,3,3.7
4054,Economics,Xueda,Song,47,3.3
4055,Marketing,Michael,Song,0,
4056,Mathematics,Zilong,Song,6,4
4057,"Languages, Literatures & Linguistics",Heejin,Song,8,4.6
4058,Sociology,Renuka,Sooknanan,8,5
4059,Environmental Studies,Ella,Soper Jones,1,2.5
4060,Anthropology,Antonio,Sorge,17,3.5
4061,Environmental Studies,Luisa,Sotomayor,1,5
4062,Computer Science,R. William,Soukoreff,5,5
4063,Business,John,Spano,4,1.6
4064,Education,John,Spencer,19,4.3
4065,Art Studio,Mark,Spenser,0,
4066,Computer Science,Minas,Spetsakis,58,2.7
4067,Disaster Management,Jennifer,Spinney,13,2.7
4068,English,Danielle,Spinosa,15,4.7
4069,Applied Linguistics,Laura,Spinu,1,5
4070,Education,Marisa,Spitznagel,0,
4071,Not Specified,Ingrid,Splettstoesser,1,1
4072,Business,Ingrid,Splettstoesser-Hogeterp,40,2.4
4073,Languages,Diana,Spokiene,17,4.3
4074,Economics,Brenda,Spotton Visano,28,3.7
4075,Accounting,Gary,Spraakman,38,2.2
4076,Education,Wayne,Sproule,12,3.8
4077,Social Science,Jeffrey,Squire,31,4.2
4078,Economics,Garry,Sran,6,5
4079,Health Science,Abi,Sriharan,0,
4080,Computer Science,Pirathayini,Srikantha,4,3
4081,Social Science,Sharada,Srinivasan,23,2.1
4082,Humanities,Annupriya,Sriskandraja,5,2.4
4083,Nursing,Rani,Srivastava,0,
4084,Information Technology,Olivier,St-Cyr,17,4.4
4085,Psychology,Mellissa,St. Pierre,2,5
4086,Psychology,Melissa,St. Pierre,6,4.3
4087,Computer Science,Zbigniew,Stachniak,27,3.3
4088,Psychology,Paul,Stager,183,1.8
4089,Music,James,Stager,10,4.8
4090,Psychology,Murray,Stainton,1,5
4091,Sociology,Glenn J,Stalker,3,4.8
4092,Social Science,Glenn J,Stalker,9,3.8
4093,Philosophy,David,Stamos,181,3.6
4094,Humanities,Leonard,Stan,20,3.8
4095,Humanities,Leo,Stan,13,4.7
4096,Accounting,Tony,Stanco,0,
4097,Psychology,Jill,Stanley,3,4.7
4098,Visual Arts,Karen,Stanworth,2,4.5
4099,Business,Tracey,Starret,38,2
4100,Human Resources Management,Tracey,Starrett,0,
4101,Philosophy,Sam,Steadman,0,
4102,Womens & Gender Studies,Anne,Stebbins,1,4.5
4103,Public Policy & Administration,Ian,Stedman,16,4.5
4104,Biology,Colin,Steel,32,2.9
4105,Biology,C.G.H,Steel,0,
4106,Psychology,Jennifer,Steele,26,4.1
4107,Education,James,Steele,3,5
4108,Nursing,Rose,Steele,65,3.3
4109,Humanities,Carolyn,Steele,13,3.8
4110,Art History,Linda,Steer,0,
4111,Psychology,Jennifer,Steeves,47,3.5
4112,Economics,Georgios,Stefanidis,9,3.6
4113,Humanities,Joan,Steigerwald,17,3.8
4114,Music,Benjamin,Stein,0,
4115,History,Marc,Stein,14,4.8
4116,Psychology,Martin,Steinbach,19,4.8
4117,Anthropology,Arne,Steinforth,22,4.1
4118,History,Irmgard,Steinisch,13,2.5
4119,English As A Second Language,Linda,Steinman,3,5
4120,Psychology,Stephanie,Stephanie Jones,0,
4121,History,Jennifer,Stephen,27,4.4
4122,Anthropology,Christianne,Stephens,35,4.6
4123,Mathematics,Juris,Stephrans,23,2
4124,Mathematics,Juris,Steprans,87,2
4125,Writing,Angela,Sterzik,2,5
4126,History,Shannon,Stettner,17,3
4127,History,Paul,Stevens,15,3.8
4128,Humanities,Peter,Stevens,12,4.8
4129,Psychology,Dale,Stevens,10,4.8
4130,Psychology,William,Stevens,0,
4131,Psychology,W.,Stevens,0,
4132,History,Michael,Stevenson,22,4.8
4133,Humanities,Leah,Stewart,16,5
4134,Humanities,Fiona,Stewart,1,4
4135,English,Rachelle,Stinson,0,
4136,Geography,Phil,Stoesser,0,
4137,English,Andrea,Stone,0,
4138,Physics,Cody,Storry,48,2.6
4139,Economics,Andrey,Stoyanov,41,3.1
4140,Health Policy  Management,Matthew,Strang,17,2
4141,Marketing,Andreas,Strebinger,32,4
4142,Marketing,Daniel,Strong,20,4
4143,Psychology,Ward,Struthers,149,3.6
4144,Theater,Ross,Stuart,13,4.5
4145,English,Judith,Stuart,38,4.3
4146,Psychology,Noreen,Stuckless,67,3.5
4147,Computer Science,Wolfgang,Stuerzlinger,34,3.1
4148,History,Franc,Sturino,18,2.2
4149,Geography,Tristan,Sturm,33,4.6
4150,Biology,Bridget,Stutchbury,33,4.6
4151,Chemistry,Dennis,Stynes,49,2.8
4152,Psychology,Chang,Su,0,
4153,Human Rights,Yvonne,Su,2,5
4154,Equity Studies,Yvonne,Su,12,4.4
4155,History,Orest,Subtelny,25,3.4
4156,Not Specified,Razvan,Sufana,22,2.7
4157,Writing,Jon,Sufrin,103,4.3
4158,Psychology,Lorne,Sugar,78,4.4
4159,Not Specified,Peggy,Suk-Lan Ng,0,
4160,Not Specified,Margot,Sullivan,7,3.5
4161,Information Technology,Arhum,Sultana,0,
4162,Mathematics,Robin,Sulzgruber,4,2.8
4163,Disaster Management,Magda,Sulzycki,4,3.2
4164,Chinese,Naixu,Sun,3,1.2
4165,French Studies,Thila,Sunassee,0,
4166,Visual Arts,Pamela,Sunstrum,1,5
4167,Economics,Atipol,Supapol,28,4.1
4168,Sociology,Tracy,Supruniuk,42,3.4
4169,Sociology,Tracy Andrew,Supruniuk,9,3.5
4170,History,Allison,Surtees,7,3.9
4171,Science Technology  Society,Callum,Sutherland,0,
4172,Geography,Colin,Sutherland,1,5
4173,Psychology,Jessica,Sutherland,41,4.3
4174,Anthropology,Catherine,Sutton,5,3.7
4175,History,Langlois,Suzanne,4,3.2
4176,Communication Studies,Sara,Swain,7,4
4177,Political Science,Bill,Swanson,33,3.4
4178,Business,Andrea,Swanson,1,2
4179,History,Paul,Swarney,52,2.8
4180,Biology,Gary,Sweeney,7,3.4
4181,Human Resources Management,Chris,Sweeney,36,3.9
4182,Humanities,Frederick,Sweet,20,4.7
4183,Business Administration,Jeanna,Sweiss,3,4.7
4184,Business Administration,Jenna,Sweiss,13,4.2
4185,Humanities,Catherine,Swenson,12,2.2
4186,Social Work,Karen,Swift,6,3.2
4187,English,Margo,Swiss,16,3.3
4188,Design,Paul,Sych,11,4.4
4189,Information Technology,Danish,Syed,1,5
4190,Business Administration,Imran,Syed,3,5
4191,Science,Tanya,Sylva,1,3.5
4192,Psychology,Volodymyr,Sylvka,0,
4193,Humanities,Zach,Syme,2,5
4194,Social Science,David,Szablowski,29,2.7
4195,Mathematics,Paul,Szeptycki,25,4.1
4196,Mathematics,Anthony,Szeto,79,3
4197,Computer Science,Jarek,Szlichta,10,4.7
4198,Accounting,Corinne,Szulanski,0,
4199,Administration,Corinne,Szulansky,14,1
4200,Economics,Anastasios,T Adamopoulos,5,4.8
4201,Computer Engineering,Hina,Tabassum,48,3.7
4202,Engineering,Nima,Tabatabaei,20,4.1
4203,Sociology,Afsana,Tabibi,3,4.3
4204,Economics,Anastasios T,Tadamopoulos,0,
4205,Biology,Bakhtiyar,Taghizada,0,
4206,Finance,Nabil,Tahani,71,3.9
4207,Science,Parandis,Tajbakhsh,17,3.6
4208,Business,Hamed,Tajedin,13,4
4209,History,Cary,Takagaki,14,4.5
4210,Film,Tess,Takahashi,12,3.6
4211,Design,Borzu,Talaie,0,
4212,Economics,Henry,Tam,51,3.5
4213,Chemistry,Rob,Tamanna,12,3.7
4214,Visual Arts,Alejandro,Tamayo,1,2
4215,Kinesiology,Hala,Tamim,22,4.1
4216,Management,Justin,Tan,37,3
4217,Information Technology,Xing,Tan,27,3.5
4218,Earth Science,Neil,Tandon,11,1.5
4219,Nursing,Sannie,Tang,3,2.7
4220,Geography,Suzanne,Tank,1,5
4221,Social Science,Stephanie,Tanner,0,
4222,Mathematics,David,Tanny,60,2.3
4223,Chemistry,Kanwal,Tanwir,2,4
4224,Digital Arts,Daniel,Tapper,0,
4225,International Studies,Svitlana,Taraban Gordon,1,2
4226,Management,Ramy,Taraboulsi,1,1
4227,Education,Paul,Tarc,4,2.4
4228,History,Ryan,Targa,2,4
4229,Biology,Scott,Tarof,5,4.1
4230,Not Specified,Kevin,Tasa,7,3.8
4231,Business,Norm,Tasevski,0,
4232,Social Science,Heather,Tasker,1,4
4233,Anthropology,Carol,Tator,7,4.1
4234,Information Technology,Divinus,Tawiah,2,3
4235,"Languages, Literatures & Linguistics",Samia,Tawwab,0,
4236,History,Molly,Taylor,3,4.5
4237,Philosophy,Graeme,Taylor,0,
4238,Social Science,Allison,Taylor,2,3.5
4239,Environmental Studies,Laura,Taylor,0,
4240,Criminology,Palmer,Taylor,2,4
4241,Earth Science,Peter,Taylor,52,2.3
4242,Physics,Wendy,Taylor,21,3.5
4243,Music,Jennifer,Taylor,27,4.2
